========================================
Experiment: PD Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00
- A steady-state error of  5.0 m remained.
- PD control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
3.84, 5.01037, -0.0416128, 10.0625
3.85, 5.00996, -0.0407793, 10.0616
3.86, 5.00956, -0.0399545, 10.0608
3.87, 5.00917, -0.0391384, 10.0599
3.88, 5.00879, -0.0383312, 10.0591
3.89, 5.00841, -0.0375329, 10.0582
3.9, 5.00805, -0.0367435, 10.0574
3.91, 5.00769, -0.0359631, 10.0566
3.92, 5.00734, -0.0351917, 10.0557
3.93, 5.00699, -0.0344293, 10.0549
3.94, 5.00665, -0.0336761, 10.054
3.95, 5.00633, -0.032932, 10.0532
3.96, 5.006, -0.0321971, 10.0524
3.97, 5.00569, -0.0314713, 10.0516
3.98, 5.00538, -0.0307547, 10.0507
3.99, 5.00508, -0.0300473, 10.0499
4, 5.00479, -0.0293491, 10.0491
4.01, 5.0045, -0.0286601, 10.0483
4.02, 5.00422, -0.0279803, 10.0475
4.03, 5.00395, -0.0273098, 10.0467
4.04, 5.00368, -0.0266484, 10.0459
4.05, 5.00342, -0.0259962, 10.0451
4.06, 5.00317, -0.0253531, 10.0444
4.07, 5.00292, -0.0247192, 10.0436
4.08, 5.00268, -0.0240945, 10.0428
4.09, 5.00244, -0.0234788, 10.0421
4.1, 5.00222, -0.0228723, 10.0413
4.11, 5.00199, -0.0222747, 10.0406
4.12, 5.00178, -0.0216862, 10.0398
4.13, 5.00157, -0.0211067, 10.0391
4.14, 5.00136, -0.0205361, 10.0384
4.15, 5.00116, -0.0199744, 10.0376
4.16, 5.00097, -0.0194216, 10.0369
4.17, 5.00078, -0.0188776, 10.0362
4.18, 5.00059, -0.0183424, 10.0355
4.19, 5.00042, -0.0178158, 10.0348
4.2, 5.00024, -0.017298, 10.0341
4.21, 5.00007, -0.0167888, 10.0334
4.22, 4.99991, -0.0162881, 10.0328
4.23, 4.99975, -0.0157959, 10.0321
4.24, 4.9996, -0.0153122, 10.0314
4.25, 4.99945, -0.0148369, 10.0308
4.26, 4.99931, -0.0143699, 10.0301
4.27, 4.99917, -0.0139111, 10.0295
4.28, 4.99904, -0.0134606, 10.0289
4.29, 4.9989, -0.0130181, 10.0282
4.3, 4.99878, -0.0125838, 10.0276
4.31, 4.99866, -0.0121574, 10.027
4.32, 4.99854, -0.011739, 10.0264
4.33, 4.99843, -0.0113285, 10.0258
4.34, 4.99832, -0.0109257, 10.0252
4.35, 4.99821, -0.0105306, 10.0246
4.36, 4.99811, -0.0101432, 10.0241
4.37, 4.99801, -0.00976331, 10.0235
4.38, 4.99792, -0.00939093, 10.0229
4.39, 4.99783, -0.00902598, 10.0224
4.4, 4.99774, -0.00866836, 10.0219
4.41, 4.99766, -0.008318, 10.0213
4.42, 4.99758, -0.00797482, 10.0208
4.43, 4.9975, -0.00763875, 10.0203
4.44, 4.99743, -0.00730971, 10.0198
4.45, 4.99736, -0.00698761, 10.0193
4.46, 4.99729, -0.00667238, 10.0188
4.47, 4.99723, -0.00636394, 10.0183
4.48, 4.99717, -0.00606221, 10.0178
4.49, 4.99711, -0.00576711, 10.0173
4.5, 4.99706, -0.00547855, 10.0168
4.51, 4.997, -0.00519645, 10.0164
4.52, 4.99696, -0.00492074, 10.0159
4.53, 4.99691, -0.00465134, 10.0155
4.54, 4.99686, -0.00438815, 10.015
4.55, 4.99682, -0.00413111, 10.0146
4.56, 4.99678, -0.00388012, 10.0142
4.57, 4.99675, -0.00363511, 10.0138
4.58, 4.99671, -0.003396, 10.0134
4.59, 4.99668, -0.00316271, 10.013
4.6, 4.99665, -0.00293514, 10.0126
4.61, 4.99663, -0.00271323, 10.0122
4.62, 4.9966, -0.00249689, 10.0118
4.63, 4.99658, -0.00228605, 10.0114
4.64, 4.99656, -0.00208061, 10.011
4.65, 4.99654, -0.00188051, 10.0107
4.66, 4.99652, -0.00168565, 10.0103
4.67, 4.99651, -0.00149597, 10.01
4.68, 4.99649, -0.00131138, 10.0096
4.69, 4.99648, -0.0011318, 10.0093
4.7, 4.99647, -0.000957157, 10.009
4.71, 4.99647, -0.000787371, 10.0086
4.72, 4.99646, -0.000622363, 10.0083
4.73, 4.99645, -0.000462056, 10.008
4.74, 4.99645, -0.000306374, 10.0077
4.75, 4.99645, -0.00015524, 10.0074
4.76, 4.99645, -8.57763e-06, 10.0071
4.77, 4.99645, 0.000133688, 10.0068
4.78, 4.99645, 0.000271633, 10.0065
4.79, 4.99646, 0.00040533, 10.0063
4.8, 4.99646, 0.000534855, 10.006
4.81, 4.99647, 0.000660279, 10.0057
4.82, 4.99648, 0.000781677, 10.0055
4.83, 4.99649, 0.00089912, 10.0052
4.84, 4.9965, 0.00101268, 10.005
4.85, 4.99651, 0.00112243, 10.0047
4.86, 4.99652, 0.00122844, 10.0045
4.87, 4.99653, 0.00133077, 10.0043
4.88, 4.99655, 0.0014295, 10.004
4.89, 4.99656, 0.0015247, 10.0038
4.9, 4.99658, 0.00161644, 10.0036
4.91, 4.9966, 0.00170477, 10.0034
4.92, 4.99661, 0.00178978, 10.0032
4.93, 4.99663, 0.00187151, 10.003
4.94, 4.99665, 0.00195005, 10.0028
4.95, 4.99667, 0.00202545, 10.0026
4.96, 4.99669, 0.00209778, 10.0024
4.97, 4.99672, 0.0021671, 10.0022
4.98, 4.99674, 0.00223347, 10.0021
4.99, 4.99676, 0.00229696, 10.0019
5, 4.99678, 0.00235762, 10.0017
5.01, 4.99681, 0.00241552, 10.0016
5.02, 4.99683, 0.00247072, 10.0014
5.03, 4.99686, 0.00252327, 10.0012
5.04, 4.99688, 0.00257324, 10.0011
5.05, 4.99691, 0.00262068, 10.0009
5.06, 4.99694, 0.00266565, 10.0008
5.07, 4.99696, 0.0027082, 10.0007
5.08, 4.99699, 0.0027484, 10.0005
5.09, 4.99702, 0.00278628, 10.0004
5.1, 4.99705, 0.00282192, 10.0003
5.11, 4.99708, 0.00285536, 10.0001
5.12, 4.99711, 0.00288665, 10
5.13, 4.99713, 0.00291585, 9.9999
5.14, 4.99716, 0.00294301, 9.99979
5.15, 4.99719, 0.00296818, 9.99968
5.16, 4.99722, 0.0029914, 9.99957
5.17, 4.99725, 0.00301273, 9.99947
5.18, 4.99728, 0.00303222, 9.99937
5.19, 4.99731, 0.00304991, 9.99927
5.2, 4.99734, 0.00306584, 9.99918
5.21, 4.99738, 0.00308008, 9.99909
5.22, 4.99741, 0.00309265, 9.999
5.23, 4.99744, 0.00310361, 9.99892
5.24, 4.99747, 0.003113, 9.99884
5.25, 4.9975, 0.00312086, 9.99876
5.26, 4.99753, 0.00312724, 9.99868
5.27, 4.99756, 0.00313217, 9.99861
